County/City,Ward,Pct,"Justin Edward Fairfax","Jill Holtzman Vogel","All Others","Total Votes Cast"
,,,Democratic,Republican
"Accomack County",-,"101 - Chincoteague",369,789,0,"1,158"
"Accomack County",-,"201 - Atlantic",123,394,0,517
"Accomack County",-,"202 - Greenbackville",200,448,0,648
"Accomack County",-,"301 - New Church",347,370,1,718
"Accomack County",-,"401 - Bloxom",80,227,0,307
"Accomack County",-,"402 - Parksley",167,343,0,510
"Accomack County",-,"403 - Saxis",25,109,0,134
"Accomack County",-,"501 - Mappsville",216,180,0,396
"Accomack County",-,"502 - Rue",238,95,0,333
"Accomack County",-,"601 - Accomac",329,479,0,808
"Accomack County",-,"602 - Tangier",11,159,0,170
"Accomack County",-,"701 - Nandua",612,815,0,"1,427"
"Accomack County",-,"801 - Bobtown",168,312,0,480
"Accomack County",-,"802 - Melfa",297,271,0,568
"Accomack County",-,"803 - Wachapreague",122,281,0,403
"Accomack County",-,"901 - Painter",715,490,1,"1,206"
"Accomack County",-,"Ab - Central Absentee Precinct",449,293,0,742
"Accomack County",-,Provisional,0,0,0,0
"Albemarle County",-,"101 - Woodbrook",989,611,3,"1,603"
"Albemarle County",-,"103 - Branchlands",409,159,0,568
"Albemarle County",-,"104 - Agnor-hurt",842,301,0,"1,143"
"Albemarle County",-,"105 - Dunlora","1,236",524,0,"1,760"
"Albemarle County",-,"106 - Northside",950,732,0,"1,682"
"Albemarle County",-,"201 - Jack Jouett",760,487,1,"1,248"
"Albemarle County",-,"202 - University Hall","1,344",340,1,"1,685"
"Albemarle County",-,"203 - Georgetown",977,275,0,"1,252"
"Albemarle County",-,"204 - Belfield",416,309,1,726
"Albemarle County",-,"301 - Ivy","1,511",836,0,"2,347"
"Albemarle County",-,"302 - Red Hill",991,587,1,"1,579"
"Albemarle County",-,"304 - East Ivy",373,249,0,622
"Albemarle County",-,"305 - Country Green",927,424,4,"1,355"
"Albemarle County",-,"306 - Porters",475,261,0,736
"Albemarle County",-,"307 - Yellow Mountain",210,170,0,380
"Albemarle County",-,"401 - Scottsville",368,431,0,799
"Albemarle County",-,"402 - Monticello",358,383,0,741
"Albemarle County",-,"405 - Cale","1,865",599,3,"2,467"
"Albemarle County",-,"406 - Stone Robinson",791,928,0,"1,719"
"Albemarle County",-,"501 - Keswick",433,327,2,762
"Albemarle County",-,"502 - Stony Point",454,442,1,897
"Albemarle County",-,"503 - Hollymead",831,543,1,"1,375"
"Albemarle County",-,"504 - Free Bridge","1,551",764,1,"2,316"
"Albemarle County",-,"506 - Baker-butler",964,822,1,"1,787"
"Albemarle County",-,"601 - Crozet","1,423",867,2,"2,292"
"Albemarle County",-,"602 - Free Union",415,365,0,780
"Albemarle County",-,"603 - Earlysville",923,903,2,"1,828"
"Albemarle County",-,"604 - Brownsville","1,611","1,062",1,"2,674"
"Albemarle County",-,"Ab - Central Absentee Precinct","1,963",904,2,"2,869"
"Albemarle County",-,Provisional,26,15,0,41
"Alexandria City",-,"101 - Ladrey Senior Building",911,374,1,"1,286"
"Alexandria City",-,"102 - City Hall",829,505,1,"1,335"
"Alexandria City",-,"103 - Lyles Crouch School","1,374",578,1,"1,953"
"Alexandria City",-,"104 - Durant Center","1,178",314,2,"1,494"
"Alexandria City",-,"105 - Lee Center","1,598",469,0,"2,067"
"Alexandria City",-,"106 - Cora Kelly","1,689",312,2,"2,003"
"Alexandria City",-,"107 - Mt Vernon Recreation Center","2,013",414,5,"2,432"
"Alexandria City",-,"108 - George Washington Middle Sch","1,976",422,5,"2,403"
"Alexandria City",-,"109 - Fire Department Headquarters",997,405,3,"1,405"
"Alexandria City",-,"110 - Charles Houston Center","1,211",270,2,"1,483"
"Alexandria City",-,"111 - Potomac Yard",524,188,0,712
"Alexandria City",-,"201 - Maury School","1,322",397,1,"1,720"
"Alexandria City",-,"202 - George Mason School","1,197",551,3,"1,751"
"Alexandria City",-,"203 - Agudas Achim Synagogue","1,349",330,1,"1,680"
"Alexandria City",-,"204 - Blessed Sacrament Church","1,151",457,1,"1,609"
"Alexandria City",-,"205 - Douglas Macarthur School","1,409",519,4,"1,932"
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr","1,063",343,2,"1,408"
"Alexandria City",-,"207 - Temple Beth El Synagogue","1,363",517,0,"1,880"
"Alexandria City",-,"208 - Nova Arts Center","1,271",285,4,"1,560"
"Alexandria City",-,"209 - James K Polk School","1,439",362,1,"1,802"
"Alexandria City",-,"210 - The Hermitage",654,234,1,889
"Alexandria City",-,"302 - Patrick Henry Rec Center",991,184,2,"1,177"
"Alexandria City",-,"303 - Charles E Beatley Library","1,252",223,1,"1,476"
"Alexandria City",-,"304 - Samuel Tucker School","1,701",274,0,"1,975"
"Alexandria City",-,"305 - John Adams School","1,153",227,0,"1,380"
"Alexandria City",-,"306 - William Ramsay School","1,270",223,1,"1,494"
"Alexandria City",-,"307 - South Port","1,116",292,1,"1,409"
"Alexandria City",-,"308 - Cameron Station Community Ctr","1,328",530,1,"1,859"
"Alexandria City",-,"Ab - Central Absentee Precinct","4,941","1,255",10,"6,206"
"Alexandria City",-,Provisional,72,14,0,86
"Alleghany County",-,"101 - Arritt",83,306,0,389
"Alleghany County",-,"103 - Dameron",33,128,0,161
"Alleghany County",-,"201 - Humpback Bridge",70,186,0,256
"Alleghany County",-,"202 - Dolly Ann",76,231,1,308
"Alleghany County",-,"301 - Callaghan",44,194,0,238
"Alleghany County",-,"302 - Griffith",132,320,0,452
"Alleghany County",-,"401 - Low Moor",90,222,1,313
"Alleghany County",-,"402 - Jackson Heights",101,284,0,385
"Alleghany County",-,"501 - Iron Gate",69,98,0,167
"Alleghany County",-,"502 - Peters Switch",137,330,0,467
"Alleghany County",-,"601 - District 1",267,382,0,649
"Alleghany County",-,"701 - District 2",202,208,0,410
"Alleghany County",-,"Ab - Central Absentee Precinct",72,110,0,182
"Alleghany County",-,Provisional,0,0,0,0
"Amelia County",-,"101 - Number One",203,499,0,702
"Amelia County",-,"201 - Number Two",301,624,0,925
"Amelia County",-,"301 - Number Three",205,660,1,866
"Amelia County",-,"401 - Number Four",207,617,1,825
"Amelia County",-,"501 - Number Five",332,620,0,952
"Amelia County",-,"Ab - Central Absentee Precinct",103,219,0,322
"Amelia County",-,Provisional,0,2,0,2
"Amherst County",-,"101 - Wright Shop",356,272,0,628
"Amherst County",-,"102 - New Glasgow",253,567,1,821
"Amherst County",-,"103 - Coolwell",74,336,0,410
"Amherst County",-,"201 - Court House",511,889,1,"1,401"
"Amherst County",-,"202 - Temperance",143,372,0,515
"Amherst County",-,"301 - Monroe",147,420,0,567
"Amherst County",-,"302 - Elon",311,"1,091",0,"1,402"
"Amherst County",-,"303 - Pleasant View",80,258,0,338
"Amherst County",-,"401 - Amelon",448,"1,024",3,"1,475"
"Amherst County",-,"402 - Lonco",103,236,0,339
"Amherst County",-,"501 - Madison",495,904,2,"1,401"
"Amherst County",-,"Ab - Central Absentee Precinct",205,214,7,426
"Amherst County",-,Provisional,0,0,0,0
"Appomattox County",-,"101 - Vera",66,321,0,387
"Appomattox County",-,"102 - Pamplin",164,512,1,677
"Appomattox County",-,"201 - Chap",73,156,0,229
"Appomattox County",-,"202 - Spout Spring",139,691,0,830
"Appomattox County",-,"301 - Us 460",88,419,0,507
"Appomattox County",-,"302 - Stonewall",133,459,0,592
"Appomattox County",-,"401 - Courthouse",184,599,2,785
"Appomattox County",-,"501 - Oakville",169,493,1,663
"Appomattox County",-,"502 - Agee",84,197,1,282
"Appomattox County",-,"Ab - Central Absentee Precinct",55,141,0,196
"Appomattox County",-,Provisional,0,1,0,1
"Arlington County",-,"1 - Arlington",985,197,2,"1,184"
"Arlington County",-,"2 - Ashton Heights","1,241",299,2,"1,542"
"Arlington County",-,"3 - Aurora Hills",747,326,2,"1,075"
"Arlington County",-,"4 - Ballston","1,127",294,0,"1,421"
"Arlington County",-,"5 - Barcroft","1,018",284,1,"1,303"
"Arlington County",-,"6 - Crystal City",792,264,2,"1,058"
"Arlington County",-,"7 - Cherrydale","1,178",354,2,"1,534"
"Arlington County",-,"8 - Hume","1,282",404,2,"1,688"
"Arlington County",-,"9 - Columbia","1,507",338,2,"1,847"
"Arlington County",-,"10 - Wilson","1,336",378,0,"1,714"
"Arlington County",-,"11 - East Falls Church",843,276,0,"1,119"
"Arlington County",-,"12 - Fairlington","1,225",397,2,"1,624"
"Arlington County",-,"13 - Glen Carlyn",828,204,0,"1,032"
"Arlington County",-,"14 - Clarendon",878,218,1,"1,097"
"Arlington County",-,"15 - Lyon Park",673,169,1,843
"Arlington County",-,"16 - Lyon Village","1,213",365,1,"1,579"
"Arlington County",-,"17 - Overlee Knolls","1,305",401,2,"1,708"
"Arlington County",-,"18 - Park Lane","1,487",398,2,"1,887"
"Arlington County",-,"19 - Rosslyn","1,267",301,6,"1,574"
"Arlington County",-,"20 - Thrifton","1,116",472,2,"1,590"
"Arlington County",-,"21 - Virginia Highlands",692,249,1,942
"Arlington County",-,"22 - Abingdon","1,359",359,4,"1,722"
"Arlington County",-,"23 - Westover","1,216",301,0,"1,517"
"Arlington County",-,"24 - Woodlawn","1,550",377,1,"1,928"
"Arlington County",-,"25 - Arlington Forest","1,074",296,1,"1,371"
"Arlington County",-,"26 - Fillmore","1,467",309,6,"1,782"
"Arlington County",-,"27 - Jefferson","1,206",320,0,"1,526"
"Arlington County",-,"28 - Wakefield","1,360",276,3,"1,639"
"Arlington County",-,"29 - Dominion Hills","1,303",322,2,"1,627"
"Arlington County",-,"30 - Glebe","1,129",193,2,"1,324"
"Arlington County",-,"31 - Lexington","1,236",376,0,"1,612"
"Arlington County",-,"32 - Oakridge",436,193,1,630
"Arlington County",-,"33 - Rock Spring","1,200",480,0,"1,680"
"Arlington County",-,"34 - Yorktown","1,106",365,1,"1,472"
"Arlington County",-,"35 - Madison","1,142",610,3,"1,755"
"Arlington County",-,"36 - Marshall","1,248",411,2,"1,661"
"Arlington County",-,"37 - Nottingham","1,091",392,1,"1,484"
"Arlington County",-,"38 - Arlington View","1,070",181,1,"1,252"
"Arlington County",-,"39 - Ashlawn",726,209,0,935
"Arlington County",-,"40 - Virginia Square","1,287",360,3,"1,650"
"Arlington County",-,"41 - Navy League",965,227,4,"1,196"
"Arlington County",-,"42 - Shirlington","1,001",228,1,"1,230"
"Arlington County",-,"43 - Campbell",830,112,0,942
"Arlington County",-,"44 - Dawson Terrace",906,170,2,"1,078"
"Arlington County",-,"45 - Buckingham",850,184,0,"1,034"
"Arlington County",-,"46 - Central","1,218",340,4,"1,562"
"Arlington County",-,"47 - Four Mile Run","1,003",166,1,"1,170"
"Arlington County",-,"48 - Ausa",774,243,0,"1,017"
"Arlington County",-,"49 - Monroe",677,156,0,833
"Arlington County",-,"50 - Crystal Plaza",781,288,2,"1,071"
"Arlington County",-,"51 - Taylor",319,114,0,433
"Arlington County",-,"52 - Gunston",782,203,2,987
"Arlington County",-,"53 - Met Park",907,276,0,"1,183"
"Arlington County",-,"54 - Garfield Park",491,140,0,631
"Arlington County",-,"Ab - Central Absentee Precinct","10,291","1,829",8,"12,128"
"Arlington County",-,Provisional,77,21,0,98
"Augusta County",-,"101 - Jolivue",193,402,0,595
"Augusta County",-,"102 - Stuarts Draft Elementary",199,465,0,664
"Augusta County",-,"103 - Verona",282,848,1,"1,131"
"Augusta County",-,"201 - Crimora",240,862,0,"1,102"
"Augusta County",-,"202 - New Hope",167,631,0,798
"Augusta County",-,"203 - Weyers Cave",307,857,0,"1,164"
"Augusta County",-,"301 - Fort Defiance",480,"1,341",1,"1,822"
"Augusta County",-,"302 - North River",105,400,0,505
"Augusta County",-,"303 - Mount Solon",96,548,0,644
"Augusta County",-,"304 - Churchville Fire Station",134,462,0,596
"Augusta County",-,"401 - Buffalo Gap",136,525,0,661
"Augusta County",-,"402 - Churchville Elementary",139,574,1,714
"Augusta County",-,"403 - Craigsville",77,330,0,407
"Augusta County",-,"404 - Deerfield",44,192,0,236
"Augusta County",-,"405 - Cedar Green",255,668,0,923
"Augusta County",-,"501 - Greenville",212,863,0,"1,075"
"Augusta County",-,"502 - Middlebrook",127,425,2,554
